date,open,high,low,close,volume
2026-04-20,355.05,445.0,355.05,424.3,642.0
2026-04-21,424.4,439.0,424.25,426.85,1194.0
2026-04-22,423.95,435.15,420.0,421.55,1034.0
2026-04-23,408.1,436.85,408.1,426.95,1461.0
2026-04-24,429.1,429.1,417.0,423.05,346.0
2026-04-27,425.0,440.0,408.4,434.65,3033.0
2026-04-28,434.6,455.0,430.0,439.4,3092.0
2026-04-29,459.95,471.85,435.05,436.35,2141.0
2026-04-30,435.1,440.5,434.2,435.25,368.0
2026-05-04,465.0,465.0,432.0,436.9,2190.0
2026-05-05,436.9,440.0,423.05,426.3,3248.0
2026-05-06,433.95,440.0,425.55,431.9,1491.0
2026-05-07,432.0,443.0,429.5,434.1,1374.0
2026-05-08,439.85,440.0,425.0,427.0,3318.0
